Rank,Name,Age,Team,Health Status,Proj Pts (NHL.com),Proj Pts (DailyFaceoff),Proj Pts (FantasyPros),Proj Pts (theScore),PTS (2024-25),GP (2024-25),G (2024-25),A (2024-25),SOG (2024-25),Hits (2024-25),Blocks (2024-25),FOW (2024-25),TOI/GP
111,Miro Heiskanen,26,DAL,,44,18.2,,,25,50,5,20,108,17,85,0,25.16033333333333
112,Travis Konecny,28,PHI,,72,60.5,,,76,82,24,52,188,94,42,39,20.602845528455287
113,Vincent Trocheck,32,NYR,,68,36.7,,,59,82,26,33,202,214,78,910,21.09898374
114,Joel Eriksson Ek,28,MIN,,65,59.4,,,29,46,14,15,140,82,36,408,19.76630434782609
117,Elias Pettersson,21,VAN,,75,60.7,,,45,64,15,30,109,74,77,458,18.660416666666663
118,Matthew Tkachuk,28,FLA,Injured,56,9.4,,,57,52,22,35,156,84,12,1,18.231410256410257
119,Morgan Geekie,27,BOS,,,47.9,,,57,77,33,24,150,110,29,174,16.920346320346322
120,Brad Marchand,37,FLA,,61,37,,,51,71,23,28,194,81,34,5,18.32417840375587
121,Ryan Nugent-Hopkins,32,EDM,,64,34.1,,,49,78,20,29,164,26,48,270,18.97286324786325
122,Mark Stone,33,VGK,,60,54.8,,,67,66,19,48,131,32,42,5,19.25429292929293
123,Alex Tuch,29,BUF,,63,42.5,,,67,82,36,31,197,73,113,77,19.254268292682926
124,Matt Duchene,34,DAL,,70,51.4,,,82,82,30,52,152,29,21,440,17.142886178861787
125,Mikael Granlund,33,ANA,,59,51.3,,,66,83,22,44,169,57,60,359,19.449799196787147
126,Patrick Kane,37,DET,,65,54.4,,,59,72,21,38,175,19,23,5,17.97939814814815
127,Andrei Svechnikov,25,CAR,,59,61.4,,,48,72,20,28,180,148,22,1,17.113657407407405
128,Will Smith,20,SJS,,56,57.2,,,45,74,18,27,127,13,16,65,15.852702702702704
129,Cutter Gauthier,21,ANA,,55,46,,,43,82,20,23,190,68,51,21,14.15548780487805
130,Quinton Byfield,23,LAK,,60,45.1,,,54,81,23,31,158,80,33,415,18.623456790123456
131,Rickard Rakell,32,PIT,,62,50.9,,,70,81,35,35,203,116,77,19,19.297530864197533
132,Frank Vatrano,31,ANA,,48,47.9,,,45,81,21,24,234,169,69,16,17.545267489711932
133,Bo Horvat,30,NYI,,65,18,,,57,81,28,29,243,100,40,767,20.173456790123456
134,Erik Karlsson,35,PIT,,,15.2,,,53,82,11,42,191,29,94,0,23.23577235772358
135,Mika Zibanejad,32,NYR,,67,60.4,,,62,82,20,42,183,44,46,549,18.76239837398374
136,Mathew Barzal,28,NYI,,67,60.6,,,20,30,6,14,78,24,24,22,20.349444444444444
137,Brock Nelson,34,COL,,65,22.4,,,56,80,26,30,193,35,43,630,18.9125
138,Marco Rossi,24,MIN,,63,17.9,,,60,82,24,36,136,62,41,464,18.24573170731708
139,Mason McTavish,22,ANA,,60,58,,,52,76,22,30,180,70,31,487,16.875657894736843
140,Kiefer Sherwood,30,VAN,,47,18.7,,,40,78,19,21,141,462,30,24,14.889102564102563
141,John Carlson,35,WSH,,,21.2,,,51,79,5,46,167,49,131,0,23.564135021097048
142,Shayne Gostisbehere,32,CAR,,,43.8,,,45,70,7,38,122,41,66,0,18.52095238095238
,,,,,,59.8,,,,,,,,,,,
,,,,,,67.3,,,,,,,,,,,
,,,,,,57.6,,,,,,,,,,,
,,,,,,36,,,,,,,,,,,
,,,,,,69,,,,,,,,,,,
,,,,,,57.9,,,,,,,,,,,
,,,,,,57.8,,,,,,,,,,,
,,,,,,54.8,,,,,,,,,,,
,,,,,,52,,,,,,,,,,,
,,,,,,50.4,,,,,,,,,,,
,,,,,,14.4,,,,,,,,,,,
,,,,,,37.6,,,,,,,,,,,
,,,,,,19.6,,,,,,,,,,,
,,,,,,54.7,,,,,,,,,,,
,,,,,,43.7,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,
,,,,,,43.8,,,,,,,,,,,
,,,,,,47.3,,,,,,,,,,,
,,,,,,58.9,,,,,,,,,,,
,,,,,,47,,,,,,,,,,,
,,,,,,60.9,,,,,,,,,,,
,,,,,,41.8,,,,,,,,,,,
,,,,,,56.3,,,,,,,,,,,
,,,,,,58.1,,,,,,,,,,,
,,,,,,48.7,,,,,,,,,,,
,,,,,,42.6,,,,,,,,,,,
,,,,,,54.6,,,,,,,,,,,
,,,,,,33.2,,,,,,,,,,,
,,,,,,47.8,,,,,,,,,,,
,,,,,,54.5,,,,,,,,,,,
,,,,,,40.6,,,,,,,,,,,
,,,,,,43.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,60,,,,,,,,,,,
,,,,,,48,,,,,,,,,,,
,,,,,,59,,,,,,,,,,,
,,,,,,54,,,,,,,,,,,
